geoid,name,B19013001,"B19013001, Error"
14000US06037143603,"Census Tract 1436.03, Los Angeles, CA",87000,19627
14000US06037143604,"Census Tract 1436.04, Los Angeles, CA",82199,13585
14000US06037143700,"Census Tract 1437, Los Angeles, CA",111985,20230
14000US06037143800,"Census Tract 1438, Los Angeles, CA",138151,23948
14000US06037143901,"Census Tract 1439.01, Los Angeles, CA",212188,29080
14000US06037143902,"Census Tract 1439.02, Los Angeles, CA",110508,9791
14000US06037181000,"Census Tract 1810, Los Angeles, CA",116958,14053
14000US06037181300,"Census Tract 1813, Los Angeles, CA",110508,8207
14000US06037181400,"Census Tract 1814, Los Angeles, CA",85262,20191
14000US06037181500,"Census Tract 1815, Los Angeles, CA",98250,33890
14000US06037181600,"Census Tract 1816, Los Angeles, CA",82443,15426
14000US06037183101,"Census Tract 1831.01, Los Angeles, CA",54548,7373
14000US06037183103,"Census Tract 1831.03, Los Angeles, CA",61719,7174
14000US06037183104,"Census Tract 1831.04, Los Angeles, CA",92806,12656
14000US06037183220,"Census Tract 1832.20, Los Angeles, CA",63899,13372
14000US06037183221,"Census Tract 1832.21, Los Angeles, CA",60048,8064
14000US06037183222,"Census Tract 1832.22, Los Angeles, CA",79861,30926
14000US06037183300,"Census Tract 1833, Los Angeles, CA",75233,5226
14000US06037183401,"Census Tract 1834.01, Los Angeles, CA",61875,9061
14000US06037183402,"Census Tract 1834.02, Los Angeles, CA",65568,9422
14000US06037183510,"Census Tract 1835.10, Los Angeles, CA",75486,22254
14000US06037183520,"Census Tract 1835.20, Los Angeles, CA",52232,10095
14000US06037183610,"Census Tract 1836.10, Los Angeles, CA",57727,9171
14000US06037183620,"Census Tract 1836.20, Los Angeles, CA",55909,18245
14000US06037183701,"Census Tract 1837.01, Los Angeles, CA",48654,19850
14000US06037183702,"Census Tract 1837.02, Los Angeles, CA",62778,18571
14000US06037183810,"Census Tract 1838.10, Los Angeles, CA",59906,9993
14000US06037183820,"Census Tract 1838.20, Los Angeles, CA",46477,17818
14000US06037185100,"Census Tract 1851, Los Angeles, CA",109886,32635
14000US06037185202,"Census Tract 1852.02, Los Angeles, CA",64623,13020
14000US06037185203,"Census Tract 1852.03, Los Angeles, CA",49698,10662
14000US06037185204,"Census Tract 1852.04, Los Angeles, CA",86971,8555
14000US06037185310,"Census Tract 1853.10, Los Angeles, CA",64671,10941
14000US06037185320,"Census Tract 1853.20, Los Angeles, CA",42202,11123
14000US06037186100,"Census Tract 1861, Los Angeles, CA",92569,11923
14000US06037186201,"Census Tract 1862.01, Los Angeles, CA",61733,15952
14000US06037186202,"Census Tract 1862.02, Los Angeles, CA",95089,29407
14000US06037186203,"Census Tract 1862.03, Los Angeles, CA",114461,16004
14000US06037186301,"Census Tract 1863.01, Los Angeles, CA",53125,7468
14000US06037186302,"Census Tract 1863.02, Los Angeles, CA",78264,15759
14000US06037186401,"Census Tract 1864.01, Los Angeles, CA",41450,8741
14000US06037186403,"Census Tract 1864.03, Los Angeles, CA",59861,9893
